model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lgbm,baseline,0.608543175,0.632663317,0.168495298,0.57743957,0.260869565,0.054580758,-0.124794895,0.009383675,0.121905915,1.459324073,0.107563245,0.803
xgb,baseline,0.612042656,0.592361809,0.163190465,0.637421665,0.259854015,0.055896996,-0.063719234,0.066998571,0.176839686,1.666306676,0.101211443,0.828
cat,baseline,0.631716681,0.684221106,0.191780822,0.564010743,0.28623353,0.051349024,-0.138468551,-0.017299005,0.08551877,1.347008854,0.10661154,0.629
lr,baseline,0.603368371,0.642914573,0.168119891,0.552372426,0.257781492,0.035365356,-0.048495898,0.058741373,0.149260631,1.670084962,0.110111229,0.787
tabtransformer,baseline,0.593417792,0.641909548,0.163270925,0.530886303,0.249736787,0.042454931,-0.01946217,0.075123897,0.155042826,1.726978586,0.11263007,0.807
mlp,baseline,0.552373288,0.568341709,0.136051306,0.531781558,0.216669706,0.070948637,0.032360985,0.084580162,0.128727562,1.411538114,0.113605611,0.664
tabnet,baseline,0.609900551,0.672562814,0.177851339,0.529095792,0.266216216,0.045585483,-0.224931632,-0.098886087,0.007106328,1.021730946,0.111312377,0.455
adversarial,baseline,0.598181962,0.689246231,0.176123319,0.480752014,0.257801248,0.04545179,-0.12142206,-0.003671017,0.095180417,1.446290402,0.11562747,0.657
meta,baseline,0.5,0.887738693,0,0,,0,0,0,0,,0.119077843,0
lgbm,preReweighing,0.623289597,0.640100503,0.176470588,0.601611459,0.272893401,0.053706736,0.001640839,0.064530948,0.119852316,1.451586405,0.104541229,0.625
xgb,preReweighing,0.612042656,0.592361809,0.163190465,0.637421665,0.259854015,0.055896996,-0.063719234,0.066998571,0.176839686,1.666306676,0.101211443,0.828
xgb,preDisparate,0.616683175,0.638090452,0.173157895,0.589077887,0.267642872,0.05606087,-0.062032817,0.04909521,0.143240959,1.592624359,0.106050494,0.749
cat,preReweighing,0.631716681,0.684221106,0.191780822,0.564010743,0.28623353,0.051349024,-0.138468551,-0.017299005,0.08551877,1.347008854,0.10661154,0.629
cat,preDisparate,0.621961106,0.581507538,0.16538546,0.674127126,0.265608466,0.05126811,-0.026344576,0.091630932,0.19150686,1.708911358,0.096902579,0.847
lr,preReweighing,0.603193333,0.641909548,0.167843563,0.553267681,0.257553657,0.035353757,-0.047584321,0.065184904,0.160176824,1.751051329,0.110045819,0.838
lr,preDisparate,0.603501651,0.638291457,0.167292225,0.558639212,0.257478853,0.035580998,-0.042114859,0.064998312,0.155421428,1.697743007,0.109555583,0.805
tabtransformer,preReweighing,0.596077003,0.586231156,0.155963303,0.6087735,0.248311119,0.039849264,0.008933455,0.105002768,0.186215679,1.727620525,0.104573291,0.961
lgbm,preDisparate,0.614645717,0.589346734,0.163759909,0.647269472,0.261388286,0.052468074,-0.155515041,0.012770171,0.153126945,1.521125571,0.100063422,0.886
mlp,preReweighing,0.552373288,0.568341709,0.136051306,0.531781558,0.216669706,0.070948637,0.032360985,0.084580162,0.128727562,1.411538114,0.113605611,0.664
mlp,preDisparate,0.553623128,0.661507538,0.14573497,0.414503133,0.215649744,0.064066097,-0.239790337,-0.053843704,0.098639418,1.442828024,0.125105429,0.812
mlp,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
mlp,posCalibrated,0.552373288,0.568341709,0.136051306,0.531781558,0.216669706,0.070948637,0.032360985,0.084580162,0.128727562,1.411538114,0.113605611,0.664
tabtransformer,preDisparate,0.584341944,0.593165829,0.151982902,0.572963295,0.24024024,0.041004082,-0.12935278,0.013499291,0.132180236,1.44983919,0.108764162,0.816
tabtransformer,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
tabnet,preReweighing,0.609900551,0.672562814,0.177851339,0.529095792,0.266216216,0.045585483,-0.224931632,-0.098886087,0.007106328,1.021730946,0.111312377,0.455
adversarial,inAD,0.561172947,0.632562814,0.146083078,0.469113697,0.222789116,0.021594424,0.426754786,0.387917657,0.358628936,38.83535271,0.120150113,1
tabnet,preDisparate,0.60574815,0.572160804,0.15795207,0.649059982,0.254073944,0.036790696,-0.000957156,0.092031397,0.171095936,1.582278104,0.099770573,0.751
xgb,posCalibrated,0.612042656,0.592361809,0.163190465,0.637421665,0.259854015,0.055896996,-0.063719234,0.066998571,0.176839686,1.666306676,0.101211443,0.828
tabtransformer,posEqqOds,0.587124553,0.682110553,0.168287938,0.464637422,0.247084028,0.040832742,-0.137830447,-0.008808791,0.098774216,1.463141322,0.117990843,0.688
lr,posROC,0.603368371,0.642914573,0.168119891,0.552372426,0.257781492,0.035365356,-0.048495898,0.058741373,0.149260631,1.670084962,0.110111229,0.787
tabnet,posEqqOds,0.609900551,0.672562814,0.177851339,0.529095792,0.266216216,0.045585483,-0.224931632,-0.098886087,0.007106328,1.021730946,0.111312377,0.455
lgbm,preReweighing posCalibrated,0.623289597,0.640100503,0.176470588,0.601611459,0.272893401,0.053706736,0.001640839,0.064530948,0.119852316,1.451586405,0.104541229,0.625
cat,preReweighing posROC,0.631716681,0.684221106,0.191780822,0.564010743,0.28623353,0.051349035,-0.138468551,-0.017299005,0.08551877,1.347008854,0.10661154,0.629
cat,posCalibrated,0.631716681,0.684221106,0.191780822,0.564010743,0.28623353,0.051349024,-0.138468551,-0.017299005,0.08551877,1.347008854,0.10661154,0.629
