model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lgbm,baseline,0.614331826,0.637386935,0.171977877,0.584601611,0.265771266,0.051540652,-0.416517056,-0.129845685,0.137055063,1.558762951,0.106589418,1
xgb,baseline,0.612361058,0.635276382,0.170686943,0.582811101,0.264043805,0.054999573,-0.418312388,-0.119604788,0.157741721,1.6966926,0.106863127,1
cat,baseline,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
lr,baseline,0.604424525,0.559396985,0.155887929,0.662488809,0.252387449,0.035273262,-0.004189108,0.145561144,0.289950643,2.536738406,0.098023141,1
tabtransformer,baseline,0.59690126,0.644623116,0.165421853,0.535362578,0.252747253,0.037971097,-0.465888689,-0.141647521,0.156603583,1.754544536,0.112006325,1
mlp,baseline,0.533611089,0.584321608,0.128659287,0.468218442,0.201852567,0.047558807,0.469479354,0.345866854,0.240009837,2.413391263,0.121199207,1
tabnet,baseline,0.609117595,0.567035176,0.158570511,0.663384064,0.255958549,0.034245026,-0.337522442,-0.065602847,0.187628803,1.662955104,0.098030215,1
adversarial,baseline,0.595006811,0.682914573,0.172768144,0.481647269,0.254313401,0.045868609,-0.185517654,-0.016510393,0.143920113,1.847529554,0.116003732,1
metafair,baseline,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
lgbm,preReweighing,0.615669844,0.591859296,0.164539654,0.646374217,0.262306994,0.051934212,-0.354578097,-0.089273564,0.158832198,1.5612071,0.100166283,1
xgb,preReweighing,0.612361058,0.635276382,0.170686943,0.582811101,0.264043805,0.054999573,-0.418312388,-0.119604788,0.157741721,1.6966926,0.106863127,1
xgb,preDisparate,0.611696636,0.628542714,0.169104439,0.589973142,0.262863981,0.055903711,-0.411131059,-0.111744512,0.166128101,1.733732444,0.106228667,1
cat,preDisparate,0.62468792,0.67798995,0.186542505,0.555953447,0.279352227,0.048158796,-0.44524237,-0.169029018,0.089768007,1.365977258,0.107929552,1
cat,preReweighing,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
lr,preReweighing,0.602581108,0.642211055,0.167619048,0.551477171,0.257095159,0.035222752,-0.4497307,-0.161348329,0.10575913,1.400373851,0.110241084,1
lr,preDisparate,0.604834094,0.63718593,0.167688616,0.563115488,0.25842235,0.035776804,-0.103830042,0.045359259,0.189314086,2.003364656,0.109076058,1
tabtransformer,preReweighing,0.596439139,0.604924623,0.158660844,0.585496867,0.249665967,0.043989607,-0.08138839,0.096391083,0.264738123,2.753890068,0.107196013,1
lgbm,preDisparate,0.620371377,0.630753769,0.173268592,0.60698299,0.269582505,0.050026741,-0.394075404,-0.113444397,0.148775787,1.606547439,0.104203654,1
mlp,preDisparate,0.53390096,0.60080402,0.129701686,0.447627574,0.201126307,0.046253774,0.448833034,0.294727345,0.16188439,1.714989391,0.123484107,1
mlp,preReweighing,0.533611089,0.584321608,0.128659287,0.468218442,0.201852567,0.047558807,0.469479354,0.345866854,0.240009837,2.413391263,0.121199207,1
mlp,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
tabnet,preDisparate,0.599022132,0.606733668,0.160019455,0.589077887,0.25167336,0.033583024,0.590664273,0.461791205,0.358572542,7.334781584,0.106755616,1
tabnet,preReweighing,0.609117595,0.567035176,0.158570511,0.663384064,0.255958549,0.034245026,-0.337522442,-0.065602847,0.187628803,1.662955104,0.098030215,1
mlp,posCalibrated,0.533611089,0.584321608,0.128659287,0.468218442,0.201852567,0.047558807,0.469479354,0.345866854,0.240009837,2.413391263,0.121199207,1
tabtransformer,preDisparate,0.590372222,0.547638191,0.149399088,0.645478962,0.242638398,0.040172426,-0.021244764,0.152669204,0.316901825,2.866199634,0.099803114,1
tabnet,posEqqOds,0.609117595,0.567035176,0.158570511,0.663384064,0.255958549,0.034245026,-0.337522442,-0.065602847,0.187628803,1.662955104,0.098030215,1
tabtransformer,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
adversarial,inAD,0.584848154,0.563517588,0.148889856,0.612354521,0.239537734,0.001987233,0.614003591,0.529590888,0.464181065,inf,0.103999811,1
xgb,posCalibrated,0.612361058,0.635276382,0.170686943,0.582811101,0.264043805,0.054999573,-0.418312388,-0.119604788,0.157741721,1.6966926,0.106863127,1
tabtransformer,posEqqOds,0.595981072,0.603417085,0.158250785,0.586392122,0.249238965,0.039316294,-0.080490724,0.067579982,0.20954892,2.009644796,0.107108191,1
xgb,preLFR,0.5,0.887738693,0,0,,0,0,0,0,,0.119077843,0
lr,posROC,0.604424525,0.559396985,0.155887929,0.662488809,0.252387449,0.035273262,-0.004189108,0.145561144,0.289950643,2.536738406,0.098023141,1
lgbm,preReweighing posCalibrated,0.615669844,0.591859296,0.164539654,0.646374217,0.262306994,0.051934212,-0.354578097,-0.089273564,0.158832198,1.5612071,0.100166283,1
xgb,preReweighing posCalibrated,0.612361058,0.635276382,0.170686943,0.582811101,0.264043805,0.054999573,-0.418312388,-0.119604788,0.157741721,1.6966926,0.106863127,1
cat,preReweighing posROC,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
lr,preReweighing posROC,0.602581108,0.642211055,0.167619048,0.551477171,0.257095159,0.035222752,-0.4497307,-0.161348329,0.10575913,1.400373851,0.110241084,1
tabtransformer,posCalibrated,0.58421956,0.651959799,0.160590278,0.496866607,0.242729062,0.040313291,0.163973668,0.166679991,0.178476039,2.051025563,0.116123262,1
lgbm,preDisparate posCalibrated,0.620371377,0.630753769,0.173268592,0.60698299,0.269582505,0.050026741,-0.394075404,-0.113444397,0.148775787,1.606547439,0.104203654,1
cat,posCalibrated,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
lr,posCalibrated,0.604424525,0.559396985,0.155887929,0.662488809,0.252387449,0.035273262,-0.004189108,0.145561144,0.289950643,2.536738406,0.098023141,1
mlp,posROC,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
lgbm,posEqqOds,0.614331826,0.637386935,0.171977877,0.584601611,0.265771266,0.051540652,-0.416517056,-0.129845685,0.137055063,1.558762951,0.106589418,1
mlp,preDisparate posEqqOds,0.53390096,0.60080402,0.129701686,0.447627574,0.201126307,0.046253774,0.448833034,0.294727345,0.16188439,1.714989391,0.123484107,1
cat,preReweighing posCalibrated,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
mlp,posEqqOds,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
cat,preDisparate posROC,0.62468792,0.67798995,0.186542505,0.555953447,0.279352227,0.048158796,-0.44524237,-0.169029018,0.089768007,1.365977258,0.107929552,1
tabtransformer,preReweighing posCalibrated,0.593352622,0.512663317,0.147258979,0.69740376,0.243171531,0.040555231,0.030819868,0.201814352,0.363784718,3.142287786,0.092561466,1
tabtransformer,posROC,0.597935825,0.648542714,0.166666667,0.532676813,0.253893749,0.036390348,-0.134350688,0.011673569,0.152056751,1.732637071,0.112152573,0.964
cat,posEqqOds,0.617772269,0.574070352,0.162740437,0.674127126,0.26218663,0.050755941,-0.326750449,-0.043404827,0.22091886,1.9006692,0.096847579,1
mlp,preReweighing posROC,0.533611089,0.584321608,0.128659287,0.468218442,0.201852567,0.047558807,0.469479354,0.345866854,0.240009837,2.413391263,0.121199207,1
tabnet,preReweighing posCalibrated,0.607071776,0.584924623,0.160162418,0.635631155,0.255855856,0.038127695,-0.36535009,-0.061243871,0.220285926,1.972929507,0.101420939,1
tabnet,posROC,0.609117595,0.567035176,0.158570511,0.663384064,0.255958549,0.034245026,-0.337522442,-0.065602847,0.187628803,1.662955104,0.098030215,1
mlp,preReweighing posCalibrated,0.537783456,0.58201005,0.130466472,0.480752014,0.205236002,0.046734258,0.482046679,0.34419993,0.226193949,2.198827928,0.119714656,1
