model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lgbm,baseline,0.61751696,0.592361809,0.165338192,0.649955237,0.263616558,0.052924389,-0.252303523,-0.002523637,0.215713403,1.944675936,0.09974736,1
xgb,baseline,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
cat,baseline,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
lr,baseline,0.604656168,0.560502513,0.156104774,0.661593554,0.252606392,0.035187242,-0.240560072,-0.01236817,0.186824911,1.641263884,0.098146667,1
tabtransformer,baseline,0.590079665,0.651256281,0.163376252,0.511190689,0.247614918,0.036068354,-0.291418248,-0.0689199,0.124498906,1.545219348,0.114505806,1
mlp,baseline,0.545489968,0.672060302,0.142333333,0.382273948,0.207432597,0.058949468,-0.219692864,-0.105163032,-0.005651207,0.98159735,0.128119964,0.57
tabnet,baseline,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
adversarial,baseline,0.593526493,0.551155779,0.150927663,0.648164727,0.244842746,0.044398651,-0.052303523,0.107888985,0.249069154,2.054392752,0.099560269,1
metafair,baseline,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
lgbm,preReweighing,0.612499203,0.676482412,0.180158247,0.529991047,0.268907563,0.051974589,0.030261969,0.087387822,0.143101399,1.757244901,0.110965176,0.83
xgb,preReweighing,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
xgb,preDisparate,0.613198542,0.672864322,0.179556355,0.536257833,0.269032113,0.056622551,-0.064317977,0.046895447,0.148191493,1.784179986,0.11048028,0.841
cat,preReweighing,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
cat,preDisparate,0.617139976,0.57919598,0.163229487,0.66606983,0.262202643,0.051043309,-0.23604336,0.014153943,0.232714319,2.019128225,0.097831523,1
lr,preReweighing,0.603964937,0.640502513,0.167926566,0.556848702,0.258037752,0.035145418,-0.144444444,0.035285142,0.193630408,2.0691766,0.109684261,1
lr,preDisparate,0.60433508,0.637688442,0.167557456,0.561324978,0.258077794,0.035421701,-0.139927733,0.013451348,0.149643974,1.655337403,0.109265965,0.933
tabtransformer,preReweighing,0.592473482,0.567336683,0.152268761,0.624888093,0.244869321,0.040682274,-0.277597109,-0.019816076,0.203457898,1.783004637,0.10256597,1
lgbm,preDisparate,0.615365935,0.588542714,0.163919621,0.649955237,0.261810314,0.053660507,-0.252303523,-0.021998088,0.179702787,1.671242762,0.099749225,1
mlp,preDisparate,0.548860377,0.433668342,0.128209348,0.69740376,0.216599472,0.046638092,0.300090334,0.237368118,0.187854152,1.441805136,0.088142287,1
mlp,preReweighing,0.545489968,0.672060302,0.142333333,0.382273948,0.207432597,0.058949468,-0.219692864,-0.105163032,-0.005651207,0.98159735,0.128119964,0.57
mlp,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
mlp,posCalibrated,0.545489968,0.672060302,0.142333333,0.382273948,0.207432597,0.058949468,-0.219692864,-0.105163032,-0.005651207,0.98159735,0.128119964,0.57
tabnet,preDisparate,0.604448292,0.637889447,0.167647059,0.561324978,0.258184064,0.037356002,-0.240831075,-0.037115055,0.141464553,1.598866606,0.10925913,1
tabtransformer,preDisparate,0.592279288,0.676683417,0.169811321,0.48343778,0.251338143,0.038670009,-0.016711834,0.08245752,0.172189486,2.150950776,0.116237871,1
tabnet,preReweighing,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
tabtransformer,preLFR,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
tabnet,posEqqOds,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
xgb,posCalibrated,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
tabtransformer,posEqqOds,0.598912619,0.689849246,0.176683087,0.481647269,0.258529553,0.044013904,-0.321228546,-0.090423093,0.110591325,1.56180393,0.115479311,1
adversarial,inAD,0.544293035,0.495678392,0.128970896,0.60698299,0.212739253,0.015752852,0.612466125,0.568910896,0.535172554,inf,0.102628295,1
lr,posROC,0.604656168,0.560502513,0.156104774,0.661593554,0.252606392,0.035187242,-0.240560072,-0.01236817,0.186824911,1.641263884,0.098146667,1
lgbm,preReweighing posCalibrated,0.612499203,0.676482412,0.180158247,0.529991047,0.268907563,0.051974589,0.030261969,0.087387822,0.143101399,1.757244901,0.110965176,0.83
cat,preReweighing posROC,0.627394919,0.636281407,0.177411037,0.615935542,0.275475475,0.049845397,-0.286630533,-0.05126675,0.155513214,1.658339272,0.103014398,1
xgb,preLFR,0.5,0.887738693,0,0,,0,0,0,0,,0.119077843,0
tabtransformer,posCalibrated,0.585123176,0.585527638,0.151402736,0.584601611,0.240515654,0.037029014,-0.318247516,-0.096414643,0.096111408,1.283863926,0.107415569,0.841
cat,posCalibrated,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
xgb,preReweighing posCalibrated,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
mlp,posROC,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
mlp,preDisparate posEqqOds,0.548860377,0.433668342,0.128209348,0.69740376,0.216599472,0.046638092,0.300090334,0.237368118,0.187854152,1.441805136,0.088142287,1
lr,preReweighing posROC,0.603964937,0.640502513,0.167926566,0.556848702,0.258037752,0.035145418,-0.144444444,0.035285142,0.193630408,2.0691766,0.109684261,1
lr,posCalibrated,0.604656168,0.560502513,0.156104774,0.661593554,0.252606392,0.035187242,-0.240560072,-0.01236817,0.186824911,1.641263884,0.098146667,1
tabtransformer,preReweighing posCalibrated,0.590149497,0.630552764,0.159797926,0.538048344,0.246412464,0.04115582,-0.163414634,0.021612837,0.18348148,1.932085921,0.112191503,1
lgbm,preDisparate posCalibrated,0.615365935,0.588542714,0.163919621,0.649955237,0.261810314,0.053660507,-0.252303523,-0.021998088,0.179702787,1.671242762,0.099749225,1
lgbm,posEqqOds,0.61751696,0.592361809,0.165338192,0.649955237,0.263616558,0.052924389,-0.252303523,-0.002523637,0.215713403,1.944675936,0.09974736,1
cat,preReweighing posCalibrated,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
mlp,posEqqOds,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
cat,posEqqOds,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
tabtransformer,posROC,0.597419531,0.631658291,0.163319239,0.553267681,0.25219343,0.039145997,-0.148057814,0.020973701,0.169871289,1.79902421,0.110392063,1
cat,preDisparate posROC,0.617139976,0.57919598,0.163229487,0.66606983,0.262202643,0.051043309,-0.23604336,0.014153943,0.232714319,2.019128225,0.097831523,1
mlp,preReweighing posROC,0.545489968,0.672060302,0.142333333,0.382273948,0.207432597,0.058949468,-0.219692864,-0.105163032,-0.005651207,0.98159735,0.128119964,0.57
tabtransformer,preDisparate posROC,0.596718925,0.574874372,0.154801508,0.624888093,0.248133665,0.038565013,-0.075790425,0.098439184,0.251653479,2.229230456,0.102635796,1
mlp,preReweighing posCalibrated,0.549126328,0.612562814,0.13802221,0.467323187,0.213104715,0.058894354,-0.234778681,-0.081957401,0.05003042,1.151282461,0.120935641,0.547
tabnet,posROC,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
xgb,posEqqOds,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
lr,preReweighing posCalibrated,0.603964937,0.640502513,0.167926566,0.556848702,0.258037752,0.035145418,-0.144444444,0.035285142,0.193630408,2.0691766,0.109684261,1
lgbm,preReweighing posEqqOds,0.612499203,0.676482412,0.180158247,0.529991047,0.268907563,0.051974589,0.030261969,0.087387822,0.143101399,1.757244901,0.110965176,0.83
cat,preDisparate posCalibrated,0.617139976,0.57919598,0.163229487,0.66606983,0.262202643,0.051043309,-0.23604336,0.014153943,0.232714319,2.019128225,0.097831523,1
tabnet,preReweighing posCalibrated,0.604379169,0.568341709,0.156951641,0.650850492,0.25291355,0.040500242,-0.251400181,-0.014289402,0.192392753,1.698110848,0.099519633,1
tabnet,preReweighing posROC,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
tabnet,posCalibrated,0.604702791,0.611959799,0.163230241,0.595344673,0.256212676,0.0317024,-0.206504065,-0.007302154,0.167490567,1.686171034,0.105951157,1
tabtransformer,preDisparate posCalibrated,0.591947204,0.601809045,0.156317951,0.579230081,0.246194825,0.040543095,-0.222764228,0.010983474,0.213986779,2.045243111,0.107963136,1
lgbm,posCalibrated,0.61751696,0.592361809,0.165338192,0.649955237,0.263616558,0.052924389,-0.252303523,-0.002523637,0.215713403,1.944675936,0.09974736,1
mlp,preLFR posEqqOds,0.480816222,0.470452261,0.105022831,0.494180842,0.173230818,-0.024163704,-0.005871725,0.01572223,0.032594241,1.065705851,0.115030686,0.118
lr,posEqqOds,0.604656168,0.560502513,0.156104774,0.661593554,0.252606392,0.035187242,-0.240560072,-0.01236817,0.186824911,1.641263884,0.098146667,1
cat,posROC,0.621446434,0.579899497,0.164952964,0.675022381,0.26511955,0.050933628,-0.227009937,0.014511882,0.226061926,1.956995487,0.096788523,1
lgbm,posROC,0.61751696,0.592361809,0.165338192,0.649955237,0.263616558,0.052924389,-0.252303523,-0.002523637,0.215713403,1.944675936,0.09974736,1
cat,preReweighing posEqqOds,0.627394919,0.636281407,0.177411037,0.615935542,0.275475475,0.049845397,-0.286630533,-0.05126675,0.155513214,1.658339272,0.103014398,1
mlp,preDisparate posROC,0.548860377,0.433668342,0.128209348,0.69740376,0.216599472,0.046638092,0.300090334,0.237368118,0.187854152,1.441805136,0.088142287,1
xgb,preReweighing posEqqOds,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
lr,preDisparate posCalibrated,0.60433508,0.637688442,0.167557456,0.561324978,0.258077794,0.035421701,-0.139927733,0.013451348,0.149643974,1.655337403,0.109265965,0.933
mlp,preReweighing posEqqOds,0.545489968,0.672060302,0.142333333,0.382273948,0.207432597,0.058949468,-0.219692864,-0.105163032,-0.005651207,0.98159735,0.128119964,0.57
mlp,preDisparate posCalibrated,0.548860377,0.433668342,0.128209348,0.69740376,0.216599472,0.046638092,0.300090334,0.237368118,0.187854152,1.441805136,0.088142287,1
tabnet,preDisparate posCalibrated,0.604448292,0.637889447,0.167647059,0.561324978,0.258184064,0.037356002,-0.240831075,-0.037115055,0.141464553,1.598866606,0.10925913,1
xgb,preDisparate posEqqOds,0.613198542,0.672864322,0.179556355,0.536257833,0.269032113,0.056622551,-0.064317977,0.046895447,0.148191493,1.784179986,0.11048028,0.841
xgb,posROC,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
lgbm,preDisparate posEqqOds,0.615365935,0.588542714,0.163919621,0.649955237,0.261810314,0.053660507,-0.252303523,-0.021998088,0.179702787,1.671242762,0.099749225,1
tabtransformer,preReweighing posROC,0.592925619,0.65839196,0.166179052,0.508504924,0.250496141,0.04046971,-0.09232159,0.026383362,0.132611796,1.623766595,0.114464285,0.764
lr,preReweighing posEqqOds,0.603964937,0.640502513,0.167926566,0.556848702,0.258037752,0.035145418,-0.144444444,0.035285142,0.193630408,2.0691766,0.109684261,1
lgbm,preReweighing posROC,0.612499203,0.676482412,0.180158247,0.529991047,0.268907563,0.051974589,0.030261969,0.087387822,0.143101399,1.757244901,0.110965176,0.83
tabnet,preDisparate posROC,0.604448292,0.637889447,0.167647059,0.561324978,0.258184064,0.037356002,-0.240831075,-0.037115055,0.141464553,1.598866606,0.10925913,1
tabnet,preReweighing posEqqOds,0.604379169,0.568341709,0.156951641,0.650850492,0.25291355,0.040500242,-0.251400181,-0.014289402,0.192392753,1.698110848,0.099519633,1
tabtransformer,preLFR posCalibrated,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
cat,preDisparate posEqqOds,0.617139976,0.57919598,0.163229487,0.66606983,0.262202643,0.051043309,-0.23604336,0.014153943,0.232714319,2.019128225,0.097831523,1
tabtransformer,preDisparate posEqqOds,0.588344037,0.537788945,0.147713476,0.653536258,0.240963855,0.040058582,-0.248690154,0.017669511,0.247878793,1.983768961,0.09860626,1
xgb,preReweighing posROC,0.614273243,0.667135678,0.178623719,0.54610564,0.269196823,0.055260749,-0.155284553,0.000982161,0.140282208,1.68522463,0.109694844,0.94
lr,preDisparate posEqqOds,0.60433508,0.637688442,0.167557456,0.561324978,0.258077794,0.035421701,-0.139927733,0.013451348,0.149643974,1.655337403,0.109265965,0.933
mlp,preLFR posCalibrated,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
lgbm,preDisparate posROC,0.615365935,0.588542714,0.163919621,0.649955237,0.261810314,0.053660507,-0.252303523,-0.021998088,0.179702787,1.671242762,0.099749225,1
tabtransformer,preLFR posROC,0.5,0.887738693,0,0,,,0,0,0,,0.119077843,0
