model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.615384615,-0.685243328,-0.74375,0.25625,0.100415648,1
xgb,baseline,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
lgbm,baseline,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.692307692,-0.68408902,-0.696767241,0.278348214,0.106613373,1
cat,baseline,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
mlp,baseline,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
adversarial,baseline,0.688902439,0.724867725,0.271186441,0.64,0.380952381,0.185370736,-0.692307692,-0.757718472,-0.8125,0.1875,0.101887609,1
tabnet,baseline,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.301282051,-0.449960754,-0.546767241,0.433705357,0.091708032,1
tabtransformer,baseline,0.667926829,0.62962963,0.222222222,0.72,0.339622642,0.174881696,-0.538461538,-0.612768184,-0.675,0.325,0.096964497,1
metafair,baseline,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
lr,preReweighing,0.586585366,0.576719577,0.176470588,0.6,0.272727273,0.088118183,0.032051282,-0.041197248,-0.120474138,0.781640625,0.114015425,0.532
lr,preDisparate,0.675365854,0.671957672,0.23943662,0.68,0.354166667,0.189749648,-0.615384615,-0.681841968,-0.7375,0.2625,0.100714248,1
xgb,preReweighing,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
xgb,preDisparate,0.623780488,0.788359788,0.285714286,0.4,0.333333333,0.150728489,-0.512820513,-0.630759996,-0.67737069,0.107102273,0.122599773,1
lgbm,preReweighing,0.615365854,0.656084656,0.205882353,0.56,0.301075269,0.20138949,-0.685897436,-0.684285253,-0.674784483,0.275231481,0.117681607,1
lgbm,preDisparate,0.630243902,0.740740741,0.25,0.48,0.328767123,0.194279808,-0.519230769,-0.629363284,-0.677586207,0.18125,0.120569217,1
cat,preReweighing,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
cat,preDisparate,0.643536585,0.587301587,0.202247191,0.72,0.315789474,0.15788129,-0.538461538,-0.5855573,-0.625,0.375,0.097396655,1
mlp,preReweighing,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
mlp,preDisparate,0.622439024,0.756613757,0.255813953,0.44,0.323529412,0.208669677,-0.435897436,-0.568488934,-0.62737069,0.173011364,0.123334596,1
mlp,posCalibrated,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
adversarial,inAD,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.10426483,-0.294871795,-0.447956106,-0.540301724,0.397355769,0.102785512,1
mlp,preLFR,0.5,0.867724868,0,0,,-0.001780115,0,0,0,,0.141880587,0
tabnet,preDisparate,0.700731707,0.804232804,0.35,0.56,0.430769231,0.136853359,-0.846153846,-0.826838428,-0.849784483,0.087268519,0.100311597,1
mlp,posEqqOds,0.5,0.867724868,0,0,,0.000564131,0,0,0,,0.141880587,0
cat,posCalibrated,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
tabnet,posEqqOds,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.301282051,-0.449960754,-0.546767241,0.433705357,0.091708032,1
mlp,posROC,0.49695122,0.862433862,0,0,,-0.010689657,0,0.003401361,0.00625,inf,0.144203325,1
tabtransformer,preReweighing,0.675365854,0.671957672,0.23943662,0.68,0.354166667,0.181781527,-0.615384615,-0.681841968,-0.7375,0.2625,0.100714248,1
lr,posCalibrated,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.615384615,-0.685243328,-0.74375,0.25625,0.100415648,1
cat,posEqqOds,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
xgb,preReweighing posCalibrated,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
lgbm,posEqqOds,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.692307692,-0.68408902,-0.696767241,0.278348214,0.106613373,1
cat,preReweighing posCalibrated,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.538461538,-0.605965463,-0.6625,0.3375,0.097172984,1
mlp,preReweighing posCalibrated,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
lr,preReweighing posROC,0.586585366,0.576719577,0.176470588,0.6,0.272727273,0.088118183,0.032051282,-0.041197248,-0.120474138,0.781640625,0.114015425,0.532
xgb,preLFR,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
tabnet,posCalibrated,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.301282051,-0.449960754,-0.546767241,0.433705357,0.091708032,1
tabtransformer,preDisparate,0.677073171,0.645502646,0.230769231,0.72,0.349514563,0.177821565,-0.538461538,-0.622972266,-0.69375,0.30625,0.096518635,1
tabtransformer,posEqqOds,0.681463415,0.682539683,0.246376812,0.68,0.361702128,0.177706595,-0.615384615,-0.688644689,-0.75,0.25,0.100096144,1
tabtransformer,preLFR,0.49597561,0.772486772,0.125,0.12,0.12244898,0.000679982,0.070512821,0.008245606,-0.012931034,0.90625,0.160157082,0.18
lgbm,preDisparate posCalibrated,0.630243902,0.740740741,0.25,0.48,0.328767123,0.194279808,-0.519230769,-0.629363284,-0.677586207,0.18125,0.120569217,1
mlp,preReweighing posROC,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.435897436,-0.578693016,-0.64612069,0.148295455,0.120698278,1
tabtransformer,posCalibrated,0.690609756,0.698412698,0.257575758,0.68,0.373626374,0.181377842,-0.615384615,-0.69884877,-0.76875,0.23125,0.099008679,1
tabtransformer,posROC,0.690609756,0.698412698,0.257575758,0.68,0.373626374,0.17907786,-0.615384615,-0.69884877,-0.76875,0.23125,0.099008679,1
lgbm,posCalibrated,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.692307692,-0.68408902,-0.696767241,0.278348214,0.106613373,1
xgb,posCalibrated,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.525641026,-0.657378336,-0.712284483,0.234953704,0.115646216,1
