model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.727195122,0.761904762,0.314814815,0.68,0.430379747,0.174817285,-0.571428571,-0.71476834,-0.833333333,0.166666667,0.092540445,1
xgb,baseline,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
lgbm,baseline,0.612682927,0.592592593,0.19047619,0.64,0.293577982,0.200665309,-0.642857143,-0.611124517,-0.604938272,0.371794872,0.108431239,1
cat,baseline,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
mlp,baseline,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
adversarial,baseline,0.662439024,0.767195767,0.288888889,0.52,0.371428571,0.165451612,-0.532467532,-0.677551334,-0.759259259,0.145833333,0.111668359,1
tabnet,baseline,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
tabtransformer,baseline,0.710243902,0.761904762,0.307692308,0.64,0.415584416,0.167955155,-0.642857143,-0.753861004,-0.845679012,0.154320988,0.097517668,1
metafair,baseline,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
lr,preReweighing,0.589268293,0.64021164,0.188405797,0.52,0.276595745,0.08625424,-0.207792208,-0.22636232,-0.265432099,0.552083333,0.123895189,1
lr,preDisparate,0.728536585,0.793650794,0.347826087,0.64,0.450704225,0.17761655,-0.642857143,-0.774131274,-0.882716049,0.117283951,0.092681536,1
xgb,preReweighing,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
xgb,preDisparate,0.661097561,0.735449735,0.264150943,0.56,0.358974359,0.134623639,-0.623376623,-0.664728852,-0.709876543,0.201388889,0.110999339,1
lgbm,preReweighing,0.65097561,0.62962963,0.215189873,0.68,0.326923077,0.154849091,-0.571428571,-0.561052124,-0.592592593,0.36,0.102390306,1
cat,preDisparate,0.684146341,0.746031746,0.283018868,0.6,0.384615385,0.149896844,-0.714285714,-0.748190154,-0.796296296,0.173076923,0.104610886,1
cat,preReweighing,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
lgbm,preDisparate,0.657682927,0.788359788,0.307692308,0.48,0.375,0.203610606,-0.279220779,-0.463934714,-0.580246914,0.175438596,0.112925015,1
mlp,preDisparate,0.593658537,0.677248677,0.2,0.48,0.282352941,0.156750604,-0.441558442,-0.543414356,-0.580246914,0.287878788,0.127164041,1
mlp,preReweighing,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
lgbm,preLFR,0.49695122,0.862433862,0,0,,-0.019100528,0,0.003378378,0.00617284,inf,0.144203325,1
mlp,posCalibrated,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
cat,posCalibrated,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
adversarial,inAD,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.1357977,-0.461038961,-0.651972183,-0.771604938,0.131944444,0.103243374,1
tabnet,preReweighing,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
tabnet,preDisparate,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.157142782,-0.623376623,-0.663884258,-0.728395062,0.144927536,0.103243374,1
mlp,preLFR,0.49695122,0.862433862,0,0,,-0.014606693,0,0.003378378,0.00617284,inf,0.144203325,1
tabnet,posEqqOds,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
lr,posCalibrated,0.727195122,0.761904762,0.314814815,0.68,0.430379747,0.174817285,-0.571428571,-0.71476834,-0.833333333,0.166666667,0.092540445,1
cat,posEqqOds,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
mlp,posEqqOds,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
lgbm,posEqqOds,0.612682927,0.592592593,0.19047619,0.64,0.293577982,0.200665309,-0.642857143,-0.611124517,-0.604938272,0.371794872,0.108431239,1
mlp,posROC,0.5,0.867724868,0,0,,0.003553115,0,0,0,,0.141880587,0
tabtransformer,preReweighing,0.693292683,0.761904762,0.3,0.6,0.4,0.16898347,-0.714285714,-0.792953668,-0.858024691,0.141975309,0.102501386,1
xgb,preLFR,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
tabtransformer,preDisparate,0.679756098,0.708994709,0.258064516,0.64,0.367816092,0.160577357,-0.642857143,-0.72007722,-0.783950617,0.216049383,0.103378125,1
tabtransformer,preLFR,0.5,0.867724868,0,0,,-0.003053048,0,0,0,,0.141880587,0
xgb,preReweighing posCalibrated,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
mlp,preReweighing posCalibrated,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
cat,preReweighing posCalibrated,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
lr,preReweighing posROC,0.589268293,0.64021164,0.188405797,0.52,0.276595745,0.08625424,-0.207792208,-0.22636232,-0.265432099,0.552083333,0.123895189,1
tabnet,posCalibrated,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
tabtransformer,posEqqOds,0.665487805,0.772486772,0.295454545,0.52,0.376811594,0.158301879,-0.532467532,-0.715558091,-0.808641975,0.126666667,0.110820114,1
lgbm,posCalibrated,0.612682927,0.592592593,0.19047619,0.64,0.293577982,0.200665309,-0.642857143,-0.611124517,-0.604938272,0.371794872,0.108431239,1
lgbm,preDisparate posCalibrated,0.657682927,0.788359788,0.307692308,0.48,0.375,0.203610606,-0.279220779,-0.463934714,-0.580246914,0.175438596,0.112925015,1
xgb,posCalibrated,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
mlp,preReweighing posROC,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
cat,posROC,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
tabnet,preDisparate posCalibrated,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.157142782,-0.623376623,-0.663884258,-0.728395062,0.144927536,0.103243374,1
tabtransformer,posCalibrated,0.667195122,0.746031746,0.274509804,0.56,0.368421053,0.15989823,-0.623376623,-0.740742366,-0.808641975,0.16025641,0.109680575,1
cat,preDisparate posROC,0.684146341,0.746031746,0.283018868,0.6,0.384615385,0.149896844,-0.714285714,-0.748190154,-0.796296296,0.173076923,0.104610886,1
tabtransformer,posROC,0.684146341,0.746031746,0.283018868,0.6,0.384615385,0.16654386,-0.714285714,-0.782818533,-0.839506173,0.160493827,0.104610886,1
xgb,posROC,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
lr,posROC,0.727195122,0.761904762,0.314814815,0.68,0.430379747,0.174817285,-0.571428571,-0.71476834,-0.833333333,0.166666667,0.092540445,1
tabtransformer,preReweighing posCalibrated,0.665487805,0.772486772,0.295454545,0.52,0.376811594,0.166952445,-0.532467532,-0.715558091,-0.808641975,0.126666667,0.110820114,1
xgb,posEqqOds,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
lr,preReweighing posCalibrated,0.589268293,0.64021164,0.188405797,0.52,0.276595745,0.08625424,-0.207792208,-0.22636232,-0.265432099,0.552083333,0.123895189,1
lr,preReweighing posEqqOds,0.589268293,0.64021164,0.188405797,0.52,0.276595745,0.08625424,-0.207792208,-0.22636232,-0.265432099,0.552083333,0.123895189,1
lr,posEqqOds,0.727195122,0.761904762,0.314814815,0.68,0.430379747,0.174817285,-0.571428571,-0.71476834,-0.833333333,0.166666667,0.092540445,1
mlp,preReweighing posEqqOds,0.621097561,0.724867725,0.235294118,0.48,0.315789474,0.1582545,-0.441558442,-0.573819761,-0.635802469,0.21969697,0.122576336,1
lgbm,preReweighing posEqqOds,0.65097561,0.62962963,0.215189873,0.68,0.326923077,0.154849091,-0.571428571,-0.561052124,-0.592592593,0.36,0.102390306,1
lgbm,preReweighing posCalibrated,0.65097561,0.62962963,0.215189873,0.68,0.326923077,0.154849091,-0.571428571,-0.561052124,-0.592592593,0.36,0.102390306,1
xgb,preDisparate posROC,0.661097561,0.735449735,0.264150943,0.56,0.358974359,0.134623639,-0.623376623,-0.664728852,-0.709876543,0.201388889,0.110999339,1
lgbm,posROC,0.612682927,0.592592593,0.19047619,0.64,0.293577982,0.200665309,-0.642857143,-0.611124517,-0.604938272,0.371794872,0.108431239,1
lgbm,preReweighing posROC,0.65097561,0.62962963,0.215189873,0.68,0.326923077,0.154849091,-0.571428571,-0.561052124,-0.592592593,0.36,0.102390306,1
mlp,preLFR posEqqOds,0.5,0.867724868,0,0,,1.37E-66,0,0,0,,0.141880587,0
tabnet,preReweighing posCalibrated,0.687195122,0.751322751,0.288461538,0.6,0.38961039,0.139653851,-0.551948052,-0.670399702,-0.759259259,0.18,0.103935697,1
cat,preDisparate posCalibrated,0.684146341,0.746031746,0.283018868,0.6,0.384615385,0.149896844,-0.714285714,-0.748190154,-0.796296296,0.173076923,0.104610886,1
cat,preReweighing posROC,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
tabtransformer,preDisparate posCalibrated,0.667195122,0.746031746,0.274509804,0.56,0.368421053,0.164271766,-0.623376623,-0.740742366,-0.808641975,0.16025641,0.109680575,1
mlp,preDisparate posROC,0.593658537,0.677248677,0.2,0.48,0.282352941,0.156750604,-0.441558442,-0.543414356,-0.580246914,0.287878788,0.127164041,1
tabnet,posROC,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
cat,preDisparate posEqqOds,0.684146341,0.746031746,0.283018868,0.6,0.384615385,0.149896844,-0.714285714,-0.748190154,-0.796296296,0.173076923,0.104610886,1
cat,preReweighing posEqqOds,0.69195122,0.73015873,0.275862069,0.64,0.385542169,0.153043963,-0.642857143,-0.733590734,-0.808641975,0.191358025,0.101341539,1
mlp,preDisparate posCalibrated,0.593658537,0.677248677,0.2,0.48,0.282352941,0.156750604,-0.441558442,-0.543414356,-0.580246914,0.287878788,0.127164041,1
metafair,posEqqOds,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
xgb,preReweighing posROC,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
tabnet,preReweighing posROC,0.707926829,0.64021164,0.240963855,0.8,0.37037037,0.156902755,-0.357142857,-0.519787645,-0.654320988,0.345679012,0.085947928,1
mlp,preLFR posCalibrated,0.432073171,0.396825397,0.10619469,0.48,0.173913043,-0.085861212,0.207792208,0.02957178,0.00617284,1.010416667,0.12320146,0.376
tabtransformer,preReweighing posROC,0.673292683,0.756613757,0.285714286,0.56,0.378378378,0.162550075,-0.623376623,-0.747499122,-0.820987654,0.147435897,0.108249697,1
mlp,preDisparate posEqqOds,0.593658537,0.677248677,0.2,0.48,0.282352941,0.156750604,-0.441558442,-0.543414356,-0.580246914,0.287878788,0.127164041,1
xgb,preReweighing posEqqOds,0.638780488,0.608465608,0.204819277,0.68,0.314814815,0.144701406,-0.409090909,-0.535626536,-0.611111111,0.365384615,0.102785512,1
lr,preDisparate posCalibrated,0.728536585,0.793650794,0.347826087,0.64,0.450704225,0.17761655,-0.642857143,-0.774131274,-0.882716049,0.117283951,0.092681536,1
lr,preDisparate posEqqOds,0.728536585,0.793650794,0.347826087,0.64,0.450704225,0.17761655,-0.642857143,-0.774131274,-0.882716049,0.117283951,0.092681536,1
tabnet,preReweighing posEqqOds,0.687195122,0.751322751,0.288461538,0.6,0.38961039,0.139653851,-0.551948052,-0.670399702,-0.759259259,0.18,0.103935697,1
lgbm,preDisparate posEqqOds,0.657682927,0.788359788,0.307692308,0.48,0.375,0.203610606,-0.279220779,-0.463934714,-0.580246914,0.175438596,0.112925015,1
xgb,preDisparate posEqqOds,0.661097561,0.735449735,0.264150943,0.56,0.358974359,0.134623639,-0.623376623,-0.664728852,-0.709876543,0.201388889,0.110999339,1
xgb,preDisparate posCalibrated,0.661097561,0.735449735,0.264150943,0.56,0.358974359,0.134623639,-0.623376623,-0.664728852,-0.709876543,0.201388889,0.110999339,1
lgbm,preDisparate posROC,0.657682927,0.788359788,0.307692308,0.48,0.375,0.203610606,-0.279220779,-0.463934714,-0.580246914,0.175438596,0.112925015,1
lr,preLFR posCalibrated,0.457804878,0.470899471,0.113402062,0.44,0.180327869,-0.028011797,-0.025974026,-0.068730256,-0.049382716,0.911111111,0.134013255,0.215
tabnet,preDisparate posROC,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.157142782,-0.623376623,-0.663884258,-0.728395062,0.144927536,0.103243374,1
tabtransformer,preLFR posROC,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
lr,preDisparate posROC,0.728536585,0.793650794,0.347826087,0.64,0.450704225,0.17761655,-0.642857143,-0.774131274,-0.882716049,0.117283951,0.092681536,1
tabtransformer,preDisparate posEqqOds,0.656341463,0.756613757,0.276595745,0.52,0.361111111,0.15577171,-0.532467532,-0.705422955,-0.790123457,0.146666667,0.113272807,1
tabtransformer,preLFR posCalibrated,0.480731707,0.746031746,0.103448276,0.12,0.111111111,-0.006595357,0.051948052,0.079183485,0.092592593,2.25,0.165811507,0.924
tabtransformer,preDisparate posROC,0.693292683,0.761904762,0.3,0.6,0.4,0.172531458,-0.551948052,-0.711784837,-0.814814815,0.153846154,0.102501386,1
tabnet,preDisparate posEqqOds,0.691585366,0.788359788,0.325581395,0.56,0.411764706,0.157142782,-0.623376623,-0.663884258,-0.728395062,0.144927536,0.103243374,1
mlp,preLFR posROC,0.5,0.867724868,0,0,,-2.19E-05,0,0,0,,0.141880587,0
tabtransformer,preLFR posEqqOds,0.5,0.867724868,0,0,,6.91E-05,0,0,0,,0.141880587,0
