model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.67804878,0.735449735,0.272727273,0.6,0.375,0.131028525,-0.5,-0.657894737,-0.779069767,0.220930233,0.105879735,1
xgb,baseline,0.595731707,0.592592593,0.182926829,0.6,0.280373832,0.11018527,-0.5,-0.569078947,-0.622093023,0.377906977,0.113983456,1
lgbm,baseline,0.618780488,0.603174603,0.195121951,0.64,0.299065421,0.141890168,-0.45,-0.502412281,-0.55745554,0.407703488,0.108348113,1
cat,baseline,0.668902439,0.71957672,0.25862069,0.6,0.361445783,0.094431425,-0.5,-0.648026316,-0.761627907,0.238372093,0.107586109,1
mlp,baseline,0.620731707,0.783068783,0.277777778,0.4,0.327868852,0.152281288,-0.25,-0.399122807,-0.501709986,0.224630021,0.123647915,1
tabnet,baseline,0.653658537,0.693121693,0.238095238,0.6,0.340909091,0.122709657,-0.5,-0.541666667,-0.603283174,0.31627907,0.109934131,1
adversarial,baseline,0.645487805,0.767195767,0.279069767,0.48,0.352941176,0.127953352,-0.4,-0.547587719,-0.654924761,0.204734219,0.116637522,1
tabtransformer,baseline,0.636341463,0.751322751,0.260869565,0.48,0.338028169,0.118791071,-0.4,-0.582675439,-0.702120383,0.204263566,0.119087143,1
metafair,baseline,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
lr,preReweighing,0.639390244,0.756613757,0.266666667,0.48,0.342857143,0.101058783,-0.15,-0.236184211,-0.320109439,0.395348837,0.118301346,1
lr,preDisparate,0.65804878,0.73015873,0.259259259,0.56,0.35443038,0.132649695,-0.55,-0.682894737,-0.784883721,0.215116279,0.11161789,1
xgb,preReweighing,0.595731707,0.592592593,0.182926829,0.6,0.280373832,0.11018527,-0.5,-0.569078947,-0.622093023,0.377906977,0.113983456,1
xgb,preDisparate,0.617804878,0.513227513,0.180952381,0.76,0.292307692,0.089345152,-0.3,-0.406578947,-0.488372093,0.511627907,0.09023755,1
lgbm,preReweighing,0.595365854,0.650793651,0.194029851,0.52,0.282608696,0.142576958,-0.35,-0.491885965,-0.58002736,0.342635659,0.123398116,1
lgbm,preDisparate,0.626219512,0.645502646,0.208333333,0.6,0.309278351,0.151539629,-0.5,-0.557017544,-0.615595075,0.345930233,0.112740543,1
cat,preDisparate,0.643536585,0.587301587,0.202247191,0.72,0.315789474,0.107709187,-0.35,-0.480921053,-0.581395349,0.418604651,0.097396655,1
mlp,preReweighing,0.620731707,0.783068783,0.277777778,0.4,0.327868852,0.152281288,-0.25,-0.399122807,-0.501709986,0.224630021,0.123647915,1
mlp,preDisparate,0.614634146,0.772486772,0.263157895,0.4,0.317460317,0.153779339,-0.25,-0.39254386,-0.490082079,0.242600423,0.125638932,1
tabnet,preDisparate,0.582195122,0.53968254,0.170212766,0.64,0.268907563,0.13625595,-0.45,-0.417982456,-0.423050616,0.520542636,0.107899679,1
mlp,posCalibrated,0.620731707,0.783068783,0.277777778,0.4,0.327868852,0.152281288,-0.25,-0.399122807,-0.501709986,0.224630021,0.123647915,1
lr,posCalibrated,0.67804878,0.735449735,0.272727273,0.6,0.375,0.131028525,-0.5,-0.657894737,-0.779069767,0.220930233,0.105879735,1
lgbm,posEqqOds,0.618780488,0.603174603,0.195121951,0.64,0.299065421,0.141890168,-0.45,-0.502412281,-0.55745554,0.407703488,0.108348113,1
mlp,posEqqOds,0.5,0.867724868,0,0,,3.33E-22,0,0,0,,0.141880587,0
tabnet,posEqqOds,0.653658537,0.693121693,0.238095238,0.6,0.340909091,0.122709657,-0.5,-0.541666667,-0.603283174,0.31627907,0.109934131,1
adversarial,inAD,0.645487805,0.767195767,0.279069767,0.48,0.352941176,0.109416092,-0.4,-0.502631579,-0.590287278,0.228085868,0.116637522,1
mlp,preLFR,0.5,0.867724868,0,0,,-0.000121889,0,0,0,,0.141880587,0
xgb,preLFR,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
cat,posCalibrated,0.668902439,0.71957672,0.25862069,0.6,0.361445783,0.094431425,-0.5,-0.648026316,-0.761627907,0.238372093,0.107586109,1
