model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.393939394,-0.426410898,-0.484601211,0.06643002,0.100415648,1
xgb,baseline,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.257575758,-0.294259105,-0.348907607,0.198124622,0.115646216,1
lgbm,baseline,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.348484848,-0.344467612,-0.367859963,0.247036638,0.106613373,1
cat,baseline,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
mlp,baseline,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.121212121,-0.166277453,-0.23071861,0.183131407,0.120698278,1
tabnet,baseline,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.484848485,-0.5500139,-0.625690971,0.09928003,0.091708032,1
adversarial,baseline,0.69804878,0.740740741,0.285714286,0.64,0.395061728,0.190796014,-0.348484848,-0.344050598,-0.377730982,0.083652618,0.100172989,1
tabtransformer,baseline,0.679390244,0.767195767,0.29787234,0.56,0.388888889,0.172727405,-0.257575758,-0.266485961,-0.309028692,0.100383142,0.106702692,1
metafair,baseline,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
lr,preReweighing,0.729878049,0.825396825,0.394736842,0.6,0.476190476,0.172690905,-0.303030303,-0.243341674,-0.240326402,0.125478927,0.091324715,1
lr,preDisparate,0.672317073,0.666666667,0.236111111,0.68,0.350515464,0.189137021,-0.393939394,-0.43558521,-0.499868386,0.06453202,0.100992286,1
xgb,preDisparate,0.647926829,0.624338624,0.2125,0.68,0.323809524,0.147850114,-0.393939394,-0.417570197,-0.46143722,0.183131407,0.102515449,1
xgb,preReweighing,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.257575758,-0.294259105,-0.348907607,0.198124622,0.115646216,1
lgbm,preReweighing,0.677073171,0.645502646,0.230769231,0.72,0.349514563,0.243413844,-0.439393939,-0.440214067,-0.471045012,0.154700047,0.096518635,1
lgbm,preDisparate,0.65097561,0.62962963,0.215189873,0.68,0.326923077,0.166166677,-0.393939394,-0.440339172,-0.503553567,0.12045977,0.102390306,1
cat,preReweighing,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
cat,preDisparate,0.669634146,0.603174603,0.215909091,0.76,0.336283186,0.151181488,-0.484848485,-0.531581874,-0.597130824,0.079716024,0.091898526,1
mlp,preReweighing,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.121212121,-0.166277453,-0.23071861,0.183131407,0.120698278,1
mlp,preDisparate,0.628536585,0.767195767,0.268292683,0.44,0.333333333,0.206921877,-0.121212121,-0.170864609,-0.238352198,0.17831216,0.121609381,1
mlp,posCalibrated,0.631585366,0.772486772,0.275,0.44,0.338461538,0.20109071,-0.121212121,-0.166277453,-0.23071861,0.183131407,0.120698278,1
mlp,preLFR,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
tabnet,preReweighing,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.484848485,-0.5500139,-0.625690971,0.09928003,0.091708032,1
mlp,posEqqOds,0.5,0.867724868,0,0,,6.86E-06,0,0,0,,0.141880587,0
adversarial,inAD,0.673658537,0.698412698,0.25,0.64,0.359550562,0.09410273,-0.348484848,-0.31235752,-0.314424849,0.277374471,0.104252831,1
tabnet,preDisparate,0.679756098,0.708994709,0.258064516,0.64,0.367816092,0.173959574,-0.348484848,-0.357895468,-0.398657541,0.11484512,0.103378125,1
tabnet,posEqqOds,0.648292683,0.566137566,0.2,0.76,0.316666667,0.123186792,-0.484848485,-0.5500139,-0.625690971,0.09928003,0.091708032,1
tabtransformer,preReweighing,0.689268293,0.666666667,0.243243243,0.72,0.363636364,0.184615726,-0.439393939,-0.462899639,-0.515135562,0.062739464,0.09566325,1
cat,posCalibrated,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
lr,posCalibrated,0.678414634,0.677248677,0.242857143,0.68,0.357894737,0.187705003,-0.393939394,-0.426410898,-0.484601211,0.06643002,0.100415648,1
cat,posEqqOds,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
lgbm,posEqqOds,0.652317073,0.661375661,0.225352113,0.64,0.333333333,0.238577704,-0.348484848,-0.344467612,-0.367859963,0.247036638,0.106613373,1
xgb,preLFR,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
mlp,posROC,0.5,0.867724868,0,0,,-1.76E-06,0,0,0,,0.141880587,0
tabtransformer,preDisparate,0.689268293,0.666666667,0.243243243,0.72,0.363636364,0.182518949,-0.439393939,-0.462899639,-0.515135562,0.062739464,0.09566325,1
tabtransformer,preLFR,0.475609756,0.825396825,0,0,,-0.036088031,0,0.004336947,0.013556199,1.355172414,0.158731346,0.341
xgb,preReweighing posCalibrated,0.633658537,0.687830688,0.225806452,0.56,0.32183908,0.174926218,-0.257575758,-0.294259105,-0.348907607,0.198124622,0.115646216,1
cat,preReweighing posCalibrated,0.661829268,0.619047619,0.21686747,0.72,0.333333333,0.156039375,-0.439393939,-0.504184042,-0.583837852,0.055768412,0.097172984,1
