model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242661342,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
xgb,baseline,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lgbm,baseline,0.727500894,0.779423227,0.763747454,0.936329588,0.841278744,0.339327982,-0.064231738,-0.291991129,-0.236078431,0.763921569,0.087714662,0.996
cat,baseline,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
mlp,baseline,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
tabtransformer,baseline,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.3262482,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
tabnet,baseline,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
adversarial,baseline,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.338705707,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
metafair,baseline,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
lr,preReweighing,0.738516688,0.791114575,0.769464105,0.950062422,0.85027933,0.242012819,-0.050377834,-0.289222181,-0.230588235,0.769411765,0.078129558,0.97
lr,preDisparate,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242659923,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
xgb,preReweighing,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lgbm,preReweighing,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.334253187,-0.059193955,-0.289472237,-0.232941176,0.767058824,0.084387548,0.984
xgb,preDisparate,0.731200885,0.776305534,0.771097046,0.912609238,0.835906232,0.332317583,-0.088161209,-0.31954838,-0.262745098,0.737254902,0.101894387,1
lgbm,preDisparate,0.72626152,0.779423227,0.762145749,0.940074906,0.841811068,0.33785396,-0.060453401,-0.286983457,-0.231372549,0.768627451,0.085557171,0.981
cat,preReweighing,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
cat,preDisparate,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.330051373,-0.040302267,-0.277947391,-0.219607843,0.780392157,0.072232698,0.935
lr,preLFR,0.499244979,0.530007794,0.62375,0.622971286,0.6233604,-0.010676405,0.051997121,-0.162151128,-0.001470588,0.997647059,0.326266937,0.531
cat,preLFR,0.538287203,0.565861263,0.653266332,0.649188514,0.651221039,0.026323351,0.222562073,-0.102856178,0.121176471,1.242352941,0.303292244,1
mlp,preReweighing,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
mlp,preDisparate,0.701723986,0.751363991,0.750519751,0.901373283,0.819058423,0.310398491,-0.099496222,-0.301307362,-0.251764706,0.748235294,0.11219308,1
tabtransformer,preReweighing,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.322291996,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
mlp,posCalibrated,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
tabnet,preDisparate,0.735000596,0.790335152,0.765469062,0.957553059,0.850804215,0.314603569,-0.042821159,-0.278167336,-0.220392157,0.779607843,0.073987687,0.939
tabnet,preReweighing,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
mlp,preLFR,0.5,0.375681995,0,0,,-0.000562292,0,0,0,,0.979012251,0
tabtransformer,preDisparate,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.32449921,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
mlp,posEqqOds,0.5,0.375681995,0,0,,3.51E-60,0,0,0,,0.979012251,0
tabnet,posEqqOds,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
lr,posCalibrated,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242661342,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
lgbm,posEqqOds,0.727500894,0.779423227,0.763747454,0.936329588,0.841278744,0.339327982,-0.064231738,-0.291991129,-0.236078431,0.763921569,0.087714662,0.996
cat,posCalibrated,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
tabtransformer,posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.327258568,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
tabtransformer,preLFR,0.5,0.375681995,0,0,,-6.22E-17,0,0,0,,0.979012251,0
cat,preReweighing posCalibrated,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
adversarial,inAD,0.73581778,0.788776306,0.767676768,0.948813983,0.848687884,0.298867742,-0.05163728,-0.287772902,-0.229803922,0.770196078,0.079187559,0.97
xgb,posCalibrated,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lr,posROC,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242661342,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
tabtransformer,posCalibrated,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.320907284,-0.041561713,-0.280656116,-0.221960784,0.778039216,0.0728263,0.942
tabtransformer,posROC,0.740398413,0.795011691,0.769,0.960049938,0.853970017,0.325953316,-0.040302267,-0.281065894,-0.221960784,0.778039216,0.071890878,0.941
mlp,preReweighing posROC,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
mlp,posROC,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
lgbm,preReweighing posCalibrated,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.334253187,-0.059193955,-0.289472237,-0.232941176,0.767058824,0.084387548,0.984
xgb,preReweighing posCalibrated,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lr,posEqqOds,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242661342,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
lr,preReweighing posROC,0.738516688,0.791114575,0.769464105,0.950062422,0.85027933,0.242012819,-0.050377834,-0.289222181,-0.230588235,0.769411765,0.078129558,0.97
cat,preReweighing posROC,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
lgbm,posROC,0.727500894,0.779423227,0.763747454,0.936329588,0.841278744,0.339327982,-0.064231738,-0.291991129,-0.236078431,0.763921569,0.087714662,0.996
tabnet,preReweighing posCalibrated,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.328226083,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
lgbm,preDisparate posCalibrated,0.72626152,0.779423227,0.762145749,0.940074906,0.841811068,0.33785396,-0.060453401,-0.286983457,-0.231372549,0.768627451,0.085557171,0.981
tabnet,posCalibrated,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
cat,preReweighing posEqqOds,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
cat,posROC,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
cat,preDisparate posROC,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.330051373,-0.040302267,-0.277947391,-0.219607843,0.780392157,0.072232698,0.935
xgb,posEqqOds,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
tabnet,posROC,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
lr,preReweighing posCalibrated,0.738516688,0.791114575,0.769464105,0.950062422,0.85027933,0.242012819,-0.050377834,-0.289222181,-0.230588235,0.769411765,0.078129558,0.97
lgbm,preReweighing posEqqOds,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.334253187,-0.059193955,-0.289472237,-0.232941176,0.767058824,0.084387548,0.984
cat,posEqqOds,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.042821159,-0.281285839,-0.222745098,0.777254902,0.073647826,0.945
tabtransformer,preReweighing posCalibrated,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.315118202,-0.040302267,-0.278986892,-0.220392157,0.779607843,0.072119366,0.937
xgb,preReweighing posROC,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
tabtransformer,preDisparate posCalibrated,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.335801403,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
mlp,preDisparate posEqqOds,0.701723986,0.751363991,0.750519751,0.901373283,0.819058423,0.310398491,-0.099496222,-0.301307362,-0.251764706,0.748235294,0.11219308,1
tabnet,preReweighing posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.328226083,-0.040302267,-0.280026393,-0.221176471,0.778823529,0.072005426,0.939
mlp,preReweighing posEqqOds,0.5,0.375681995,0,0,,-7.35E-15,0,0,0,,0.979012251,0
cat,preDisparate posCalibrated,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.330051373,-0.040302267,-0.277947391,-0.219607843,0.780392157,0.072232698,0.935
mlp,preDisparate posCalibrated,0.701723986,0.751363991,0.750519751,0.901373283,0.819058423,0.310398491,-0.099496222,-0.301307362,-0.251764706,0.748235294,0.11219308,1
lr,preDisparate posEqqOds,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242659923,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
xgb,posROC,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lgbm,preDisparate posROC,0.72626152,0.779423227,0.762145749,0.940074906,0.841811068,0.33785396,-0.060453401,-0.286983457,-0.231372549,0.768627451,0.085557171,0.981
mlp,preReweighing posCalibrated,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.113350126,-0.322787329,-0.271372549,0.728627451,0.120039756,1
tabtransformer,preReweighing posROC,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.32481801,-0.040302267,-0.278986892,-0.220392157,0.779607843,0.072119366,0.937
mlp,preLFR posEqqOds,0.444788931,0.365549493,0.469767442,0.126092385,0.198818898,-0.145659194,0.12720403,0.182105134,0.168627451,inf,0.836910634,1
xgb,preDisparate posCalibrated,0.731200885,0.776305534,0.771097046,0.912609238,0.835906232,0.332317583,-0.088161209,-0.31954838,-0.262745098,0.737254902,0.101894387,1
mlp,preDisparate posROC,0.701723986,0.751363991,0.750519751,0.901373283,0.819058423,0.310398491,-0.099496222,-0.301307362,-0.251764706,0.748235294,0.11219308,1
lr,preReweighing posEqqOds,0.738516688,0.791114575,0.769464105,0.950062422,0.85027933,0.242012819,-0.050377834,-0.289222181,-0.230588235,0.769411765,0.078129558,0.97
lr,preDisparate posROC,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242659923,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
lgbm,preReweighing posROC,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.334253187,-0.059193955,-0.289472237,-0.232941176,0.767058824,0.084387548,0.984
tabtransformer,preDisparate posROC,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.318984356,-0.041561713,-0.280656116,-0.221960784,0.778039216,0.0728263,0.942
tabtransformer,preDisparate posEqqOds,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.318429462,-0.041561713,-0.280656116,-0.221960784,0.778039216,0.0728263,0.942
tabnet,preDisparate posROC,0.735000596,0.790335152,0.765469062,0.957553059,0.850804215,0.314603569,-0.042821159,-0.278167336,-0.220392157,0.779607843,0.073987687,0.939
tabnet,preReweighing posROC,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,-0.041561713,-0.279616615,-0.221176471,0.778823529,0.072940217,0.94
xgb,preReweighing posEqqOds,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,-0.068010076,-0.296998801,-0.240784314,0.759215686,0.089873044,1
lr,preDisparate posCalibrated,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242659923,-0.046599496,-0.28525401,-0.226666667,0.773333333,0.075886838,0.958
cat,preDisparate posEqqOds,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.330051373,-0.040302267,-0.277947391,-0.219607843,0.780392157,0.072232698,0.935
lgbm,preDisparate posEqqOds,0.72626152,0.779423227,0.762145749,0.940074906,0.841811068,0.33785396,-0.060453401,-0.286983457,-0.231372549,0.768627451,0.085557171,0.981
tabnet,preDisparate posCalibrated,0.735000596,0.790335152,0.765469062,0.957553059,0.850804215,0.314603569,-0.042821159,-0.278167336,-0.220392157,0.779607843,0.073987687,0.939
tabtransformer,preLFR posCalibrated,0.503332194,0.380358535,0.875,0.008739076,0.017305315,0.041001517,-1,-1,-1,0,0.965380146,1
tabnet,preDisparate posEqqOds,0.735000596,0.790335152,0.765469062,0.957553059,0.850804215,0.314603569,-0.042821159,-0.278167336,-0.220392157,0.779607843,0.073987687,0.939
mlp,preLFR posCalibrated,0.5,0.375681995,0,0,,-1.61E-08,0,0,0,,0.979012251,0
tabtransformer,preLFR posROC,0.54368502,0.570537802,0.65743073,0.651685393,0.654545455,0.083769399,-0.35138539,-0.393987914,-0.383529412,0.616470588,0.300981924,1
tabnet,preLFR posEqqOds,0.568131899,0.583008574,0.67972973,0.627965044,0.652822842,0.135005271,0.057034905,-0.226160302,-0.048529412,0.922352941,0.317576189,0.665
xgb,preDisparate posEqqOds,0.731200885,0.776305534,0.771097046,0.912609238,0.835906232,0.332317583,-0.088161209,-0.31954838,-0.262745098,0.737254902,0.101894387,1
xgb,preDisparate posROC,0.731200885,0.776305534,0.771097046,0.912609238,0.835906232,0.332317583,-0.088161209,-0.31954838,-0.262745098,0.737254902,0.101894387,1
xgb,preLFR posCalibrated,0.496667806,0.619641465,0.622745098,0.991260924,0.764932563,-0.044375632,1,1,1,inf,0.065108124,1
xgb,preLFR posROC,0.639829104,0.621979735,0.765993266,0.56803995,0.652329749,0.063216485,-0.147535085,-0.430316399,-0.288823529,0.614901961,0.355035118,1
mlp,preLFR posROC,0.524699416,0.573655495,0.640798226,0.721598002,0.678802114,0.050182412,0.295609932,-0.016436198,0.204313725,1.408627451,0.248760348,1
tabtransformer,preLFR posEqqOds,0.5,0.624318005,0.624318005,1,0.768714012,-0.000966527,0,0,0,1,0.059630498,0.021
adversarial,preReweighing inAD posEqqOds,0.739563098,0.793452845,0.769076305,0.956304619,0.852531998,0.322099207,-0.044080605,-0.283994564,-0.225098039,0.774901961,0.074240426,0.951
metafair,posEqqOds,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
metafair,preLFR posCalibrated,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,preReweighing inAD,0.496191224,0.60872954,0.622440622,0.948813983,0.751730959,-0.002028512,-0.05163728,-0.047648162,-0.048627451,0.951372549,0.092077858,0.186
metafair,preLFR,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,inAD posROC,0.497925311,0.374123149,0,0,,-0.008944675,0,0.002079002,0.001568627,inf,0.980599947,1
adversarial,preDisparate inAD,0.545009868,0.656274357,0.646341463,0.992509363,0.782865583,0.040637714,-0.007556675,-0.052634886,-0.041568627,0.958431373,0.063780658,0.132
metafair,preLFR posROC,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,inAD posEqqOds,0.740169187,0.791114575,0.77166157,0.945068664,0.849607183,0.300710071,-0.055415617,-0.295899077,-0.236862745,0.763137255,0.08096756,0.99
adversarial,inAD posCalibrated,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.305657065,-0.041561713,-0.280656116,-0.221960784,0.778039216,0.0728263,0.942
adversarial,preLFR inAD posEqqOds,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
adversarial,preLFR inAD,0.5,0.375681995,0,0,,-3.75E-07,0,0,0,,0.979012251,0
adversarial,preReweighing inAD posCalibrated,0.736249035,0.791893998,0.765936255,0.960049938,0.852077562,0.212788755,-0.040302267,-0.27690789,-0.218823529,0.781176471,0.072345424,0.933
adversarial,preReweighing inAD posROC,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.317165386,-0.040302267,-0.278986892,-0.220392157,0.779607843,0.072119366,0.937
adversarial,preDisparate inAD posROC,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.32845126,-0.041561713,-0.280656116,-0.221960784,0.778039216,0.0728263,0.942
adversarial,preDisparate inAD posEqqOds,0.734578406,0.788776306,0.766064257,0.952559301,0.8491931,0.411312655,-0.047858942,-0.28276523,-0.225098039,0.774901961,0.077054285,0.955
adversarial,preDisparate inAD posCalibrated,0.739342938,0.791114575,0.770558376,0.947565543,0.849944009,0.368806001,-0.052896725,-0.292560629,-0.23372549,0.76627451,0.079548407,0.98
metafair,preLFR posEqqOds,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,preLFR inAD posCalibrated,0.505509192,0.612626656,0.627090301,0.936329588,0.75112669,0.022145343,-0.064231738,-0.069537906,-0.068235294,0.931764706,0.100065274,0.245
adversarial,preLFR inAD posROC,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
