model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.738103563,0.791114575,0.768920283,0.951310861,0.850446429,0.241227741,-0.04875,,-0.227769111,0.772230889,0.077420253,0.597
xgb,baseline,0.729382618,0.783320343,0.763343404,0.946317104,0.845039019,0.334166379,-0.05375,,-0.226209048,0.773790952,0.081410333,0.601
lgbm,baseline,0.723975736,0.777084957,0.760891591,0.937578027,0.840044743,0.335704964,-0.0625,,-0.230889236,0.769110764,0.087332238,0.617
cat,baseline,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.326675676,-0.04,,-0.218408736,0.781591264,0.072232698,0.575
mlp,baseline,0.729795743,0.783320343,0.763874874,0.945068664,0.844866071,0.341463568,-0.055,,-0.227769111,0.772230889,0.082125936,0.604
tabtransformer,baseline,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.321163777,-0.04,,-0.218408736,0.781591264,0.072232698,0.575
tabnet,baseline,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.344767919,-0.04,,-0.219968799,0.780031201,0.072005426,0.577
adversarial,baseline,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.331715272,-0.04,,-0.219968799,0.780031201,0.072005426,0.577
metafair,baseline,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
lr,preReweighing,0.738103563,0.791114575,0.768920283,0.951310861,0.850446429,0.241093026,-0.04875,,-0.227769111,0.772230889,0.077420253,0.597
lr,preDisparate,0.737479344,0.790335152,0.768686869,0.950062422,0.849804578,0.241262852,-0.05,,-0.228549142,0.771450858,0.078245783,0.599
xgb,preReweighing,0.729382618,0.783320343,0.763343404,0.946317104,0.845039019,0.334166379,-0.05375,,-0.226209048,0.773790952,0.081410333,0.601
lgbm,preReweighing,0.726270585,0.780982073,0.761044177,0.946317104,0.843628269,0.333284334,-0.05375,,-0.223868955,0.776131045,0.081744049,0.598
lgbm,preDisparate,0.727509959,0.780982073,0.762626263,0.942571785,0.843104411,0.337928794,-0.0575,,-0.228549142,0.771450858,0.08389644,0.608
xgb,preDisparate,0.729566517,0.779423227,0.766460905,0.930087391,0.840383531,0.334030889,-0.07,,-0.242589704,0.757410296,0.091312431,0.64
cat,preReweighing,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.326675676,-0.04,,-0.218408736,0.781591264,0.072232698,0.575
cat,preDisparate,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.326409542,-0.04,,-0.218408736,0.781591264,0.072232698,0.575
lr,preLFR,0.453568154,0.454403741,0.580031696,0.456928839,0.511173184,-0.087139419,-0.54375,,-0.508580343,0.491419657,0.472212099,1
lgbm,preLFR,0.504259458,0.504286828,0.628304821,0.504369538,0.559556787,0.008251066,0.505,,0.501560062,inf,0.425928585,1
mlp,preReweighing,0.729795743,0.783320343,0.763874874,0.945068664,0.844866071,0.341463568,-0.055,,-0.227769111,0.772230889,0.082125936,0.604
