model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.737892468,0.790335152,0.769230769,0.948813983,0.849636669,0.242269217,-0.051442911,,-0.230648944,0.769351056,0.078955769,0.604
lgbm,baseline,0.728345274,0.78254092,0.762575453,0.946317104,0.844568245,0.334235766,-0.053952321,,-0.22595778,0.77404222,0.081522181,0.6
xgb,baseline,0.724123373,0.766952455,0.768736617,0.896379526,0.827665706,0.334666995,-0.104140527,,-0.272869429,0.727130571,0.112833722,0.83
cat,baseline,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.331325176,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
mlp,baseline,0.717733538,0.769290725,0.758444217,0.925093633,0.83352081,0.334519981,-0.075282309,,-0.239249414,0.760750586,0.095689343,0.642
tabtransformer,baseline,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.326068401,-0.04140527,,-0.221266615,0.778733385,0.0728263,0.58
tabnet,baseline,0.733963251,0.789555729,0.764705882,0.957553059,0.850332594,0.315340917,-0.042659975,,-0.218921032,0.781078968,0.074099761,0.578
adversarial,baseline,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.336158448,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
metafair,baseline,0.5,0.375681995,0,0,,,0,,0,,0.979012251,0.459
lr,preReweighing,0.738516688,0.791114575,0.769464105,0.950062422,0.85027933,0.241813985,-0.050188206,,-0.229867084,0.770132916,0.078129558,0.601
lgbm,preReweighing,0.728143244,0.783320343,0.761761762,0.950062422,0.845555556,0.336026602,-0.050188206,,-0.222048475,0.777951525,0.079264143,0.591
xgb,preReweighing,0.724123373,0.766952455,0.768736617,0.896379526,0.827665706,0.334666995,-0.104140527,,-0.272869429,0.727130571,0.112833722,0.83
lr,preDisparate,0.737892468,0.790335152,0.769230769,0.948813983,0.849636669,0.24227145,-0.051442911,,-0.230648944,0.769351056,0.078955769,0.604
xgb,preDisparate,0.730181671,0.778643804,0.767875648,0.925093633,0.839184598,0.3314631,-0.075282309,,-0.248631744,0.751368256,0.09431122,0.654
lgbm,preDisparate,0.733734025,0.785658613,0.767276423,0.942571785,0.845938375,0.338072964,-0.057716437,,-0.233776388,0.766223612,0.083212874,0.615
cat,preReweighing,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.331325176,-0.040150565,,-0.220484754,0.779515246,0.072005426,0.577
cat,preDisparate,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.333411154,-0.040150565,,-0.219702893,0.780297107,0.072119366,0.576
lr,preLFR,0.59607674,0.593141076,0.712328767,0.584269663,0.641975309,0.081257382,-0.417816813,,-0.489444879,0.510555121,0.349085199,1
mlp,preDisparate,0.715209463,0.761496493,0.760800843,0.901373283,0.825142857,0.337463268,-0.099121706,,-0.261141517,0.738858483,0.110735915,0.698
mlp,preReweighing,0.717733538,0.769290725,0.758444217,0.925093633,0.83352081,0.334519981,-0.075282309,,-0.239249414,0.760750586,0.095689343,0.642
