model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
lr,baseline,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242661342,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
xgb,baseline,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,0.001917307,0.034087069,0.011820601,1.015596184,0.089873044,0.081
lgbm,baseline,0.727500894,0.779423227,0.763747454,0.936329588,0.841278744,0.339327982,0.011290809,0.040094403,0.018624671,1.024474567,0.087714662,0.104
cat,baseline,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.001952813,0.04993434,0.022814634,1.029505319,0.073647826,0.106
mlp,baseline,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.067904632,-0.035067981,-0.056115935,0.924536401,0.120039756,0.218
tabtransformer,baseline,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.325775458,0.010651707,0.054847711,0.029393581,1.038013627,0.072940217,0.127
tabnet,baseline,0.737699504,0.792673422,0.767232767,0.958801498,0.852386238,0.332478468,0.010651707,0.060334961,0.033704505,1.043646442,0.072940217,0.138
adversarial,baseline,0.736653094,0.790335152,0.767605634,0.952559301,0.850139276,0.329238384,0.011619237,0.052622005,0.027921886,1.036350434,0.076826062,0.125
metafair,baseline,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
lr,preReweighing,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242734198,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
xgb,preReweighing,0.728740268,0.779423227,0.765368852,0.93258427,0.840742825,0.333169071,0.001917307,0.034087069,0.011820601,1.015596184,0.089873044,0.081
lgbm,preReweighing,0.729997772,0.78254092,0.764705882,0.941323346,0.843872412,0.336914658,0.004828774,0.031376136,0.010227945,1.013350877,0.084387548,0.077
lr,preDisparate,0.738314659,0.791893998,0.76861167,0.95380774,0.851253482,0.242624803,0.002893714,0.049648132,0.023610962,1.030697386,0.075886838,0.108
xgb,preDisparate,0.727711989,0.78020265,0.763451777,0.938826467,0.842105263,0.333740469,0.008059792,0.037090005,0.015560319,1.020365712,0.086163308,0.094
lgbm,preDisparate,0.729593713,0.784099766,0.763052209,0.948813983,0.845854201,0.335225131,0.016465764,0.042613574,0.021568061,1.027967062,0.079868144,0.113
cat,preReweighing,0.738112629,0.792673422,0.767767768,0.957553059,0.852222222,0.331528961,-0.001952813,0.04993434,0.022814634,1.029505319,0.073647826,0.106
cat,preDisparate,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.335538617,0.009036198,0.055428846,0.029393581,1.038013627,0.072005426,0.126
lr,preLFR,0.474462679,0.459859704,0.596774194,0.415730337,0.490066225,-0.038139857,-0.175353725,-0.180686881,-0.177675259,0.627528739,0.509899826,1
lgbm,preLFR,0.496667806,0.619641465,0.622745098,0.991260924,0.764932563,-0.03035255,-0.02424151,-0.016219116,-0.017693941,0.982269838,0.065108124,0.083
cat,preLFR,0.5,0.624318005,0.624318005,1,0.768714012,-0.000860563,0,0,0,1,0.059630498,0.021
mlp,preReweighing,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.067904632,-0.035067981,-0.056115935,0.924536401,0.120039756,0.218
tabtransformer,preReweighing,0.737488409,0.791893998,0.76753507,0.956304619,0.851584213,0.329274099,0.013882725,0.057852109,0.032457932,1.042143655,0.074470006,0.138
mlp,preDisparate,0.707727892,0.75370226,0.756613757,0.892634207,0.819014891,0.318010573,-0.017486552,0.006534502,-0.012556449,0.983021045,0.117065922,0.082
mlp,posCalibrated,0.709380391,0.75370226,0.758804696,0.887640449,0.818181818,0.315916558,-0.067904632,-0.035067981,-0.056115935,0.924536401,0.120039756,0.218
